b,delta_b,delta_weak
5.24615242,1.9716584436,0.7624969087
5.41007820,1.8475179549,0.7393931947
5.57400398,1.7086081450,0.7176483941
5.73792976,1.6186875726,0.6971460393
5.90185554,1.5116694493,0.6777826024
6.06578132,1.4184469587,0.6594657468
6.22970709,1.3364401761,0.6421128545
6.39363287,1.2636889025,0.6256497808
6.55755865,1.1986738324,0.6100097945
6.72148443,1.1401971464,0.5951326745
6.88541021,1.0991066538,0.5809639345
7.04933599,1.0496401386,0.5674541563
7.21326177,1.0045449646,0.5545584141
7.37718754,0.9632562746,0.5422357750
7.54111332,0.9253038193,0.5304488653
7.70503910,0.8902927238,0.5191634919
7.86896488,0.8578888083,0.5083483109
8.03289066,0.8278072416,0.4979745369
8.19681644,0.7998036702,0.4880156871
8.36074221,0.7736672101,0.4784473558
8.52466799,0.7492148576,0.4692470144
8.68859377,0.7262869918,0.4603938347
8.85251955,0.7047437267,0.4518685310
9.01644533,0.6844619303,0.4436532202
9.18037111,0.6653327712,0.4357312965
9.34429689,0.6472596876,0.4280873193
9.50822266,0.6301566937,0.4207069130
9.67214844,0.6139469615,0.4135766762
9.83607422,0.5985616261,0.4066841013
10.00000000,0.5839387735,0.4000175005
11.37931034,0.4846050609,0.3515305307
12.75862069,0.4143850070,0.3135272301
14.13793103,0.3620629392,0.2829392077
15.51724138,0.3215436412,0.2577890559
16.89655172,0.2892242905,0.2367450513
18.27586207,0.2628364544,0.2188775003
19.65517241,0.2408796400,0.2035176757
21.03448276,0.2223211652,0.1901722543
22.41379310,0.2064267500,0.1784693464
23.79310345,0.1926598373,0.1681232973
25.17241379,0.1806191455,0.1589110618
26.55172414,0.1699985070,0.1506559417
27.93103448,0.1605602287,0.1432161422
29.31034483,0.1521169391,0.1364765590
30.68965517,0.1445189255,0.1303427811
32.06896552,0.1376451154,0.1247366399
33.44827586,0.1313965330,0.1195928610
34.82758621,0.1256914732,0.1148565100
36.20689655,0.1204618885,0.1104810239
37.58620690,0.1156506472,0.1064266744
38.96551724,0.1112094269,0.1026593585
40.34482759,0.1070970787,0.0991496369
41.72413793,0.1032783419,0.0958719629
43.10344828,0.0997228270,0.0928040601
44.48275862,0.0964042018,0.0899264148
45.86206897,0.0932995357,0.0872218610
47.24137931,0.0903887672,0.0846752373
48.62068966,0.0876542685,0.0822731029
50.00000000,0.0850804872,0.0800035001
53.57142857,0.0790694023,0.0746699334
57.14285714,0.0738521241,0.0700030626
60.71428571,0.0692810770,0.0658852354
64.28571429,0.0652431459,0.0622249445
67.85714286,0.0616501693,0.0589499474
71.42857143,0.0584324153,0.0560024501
75.00000000,0.0555340041,0.0533356667
78.57142857,0.0529096301,0.0509113182
82.14285714,0.0505221728,0.0486977827
85.71428571,0.0483409283,0.0466687084
89.28571429,0.0463402795,0.0448019601
92.85714286,0.0444986846,0.0430788077
96.42857143,0.0427978975,0.0414832963
100.00000000,0.0412223607,0.0400017501
