
beta,mu_outer,mu_inner,mu_total
1.0000000000e-05,71.21089340,15300.90105798,15372.11195138
1.1937766417e-05,59.73308707,11127.08744183,11186.82052889
1.4251026703e-05,50.11842278,8048.49158004,8098.61000282
1.7012542799e-05,42.06447800,5793.11397971,5835.17845771
2.0309176209e-05,35.31792148,4151.02489052,4186.34281200
2.4244620171e-05,29.66654481,2962.13565713,2991.80220194
2.8942661247e-05,24.93258754,2105.70162989,2130.63421743
3.4551072946e-05,20.96714582,1491.55389540,1512.52104122
4.1246263829e-05,17.64548862,1052.95202387,1070.59751249
4.9238826317e-05,14.86313433,740.88370335,755.74683768
5.8780160723e-05,12.53256419,519.60382142,532.13638561
7.0170382867e-05,10.58046926,363.20061270,373.78108195
8.3767764007e-05,8.94544420,252.98964078,261.93508498
1.0000000000e-04,7.57605546,175.56002999,183.13608546
1.1937766417e-04,6.42922288,121.32483128,127.75405416
1.4251026703e-04,5.46886386,83.45496863,88.92383250
1.7012542799e-04,4.66475747,57.10115601,61.76591347
2.0309176209e-04,3.99159248,38.82964281,42.82123529
2.4244620171e-04,3.42816965,26.21525065,29.64342030
2.8942661247e-04,2.95673289,17.54922204,20.50595493
3.4551072946e-04,2.56240855,11.63032267,14.19273123
4.1246263829e-04,2.23273546,7.61598292,9.84871837
4.9238826317e-04,1.95727133,4.91653695,6.87380828
5.8780160723e-04,1.72726439,3.12027784,4.84754222
7.0170382867e-04,1.53538093,1.94047586,3.47585679
8.3767764007e-04,1.37548182,1.17800899,2.55349081
1.0000000000e-03,1.24244126,0.69506775,1.93750901
1.1937766417e-03,1.13200044,0.39670264,1.52870308
1.4251026703e-03,1.04064511,0.21791540,1.25856051
1.7012542799e-03,0.96549288,0.11465559,1.08014848
2.0309176209e-03,0.90417638,0.05754507,0.96172146
2.4244620171e-03,0.85471668,0.02747666,0.88219334
2.8942661247e-03,0.81539791,0.01247342,0.82787133
3.4551072946e-03,0.78466717,0.00539294,0.79006011
4.1246263829e-03,0.76108118,0.00222953,0.76331072
4.9238826317e-03,0.74330224,0.00088636,0.74418859
5.8780160723e-03,0.73012448,0.00034107,0.73046555
7.0170382867e-03,0.72050448,0.00012787,0.72063235
8.3767764007e-03,0.71357758,0.00004699,0.71362456
1.0000000000e-02,0.70865511,0.00001701,0.70867212
